Time,Source IP,Dest IP,Packets,Bytes,Protocol,Label
10:01,192.168.1.2,10.0.0.5,120,4500,TCP,Normal
10:02,192.168.1.3,10.0.0.6,150,5000,UDP,Normal
10:03,192.168.1.4,10.0.0.7,130,4700,TCP,Normal
10:04,192.168.1.5,10.0.0.8,140,4800,UDP,Normal
10:05,192.168.1.6,10.0.0.9,125,4600,TCP,Normal
10:06,192.168.1.7,10.0.0.10,135,4900,TCP,Normal
10:07,192.168.1.8,10.0.0.11,145,5100,UDP,Normal
10:08,192.168.1.9,10.0.0.12,150,5000,TCP,Normal
10:09,192.168.1.10,10.0.0.13,155,5200,UDP,Normal
10:10,192.168.1.11,10.0.0.14,160,5300,TCP,Normal
10:11,45.33.21.7,10.0.0.5,10000,800000,TCP,Attack
10:12,85.12.7.1,10.0.0.7,20000,1200000,TCP,Attack
10:13,192.168.2.2,10.0.0.15,170,5400,UDP,Normal
10:14,192.168.2.3,10.0.0.16,175,5500,TCP,Normal
10:15,192.168.2.4,10.0.0.17,180,5600,UDP,Normal
10:16,192.168.2.5,10.0.0.18,185,5700,TCP,Normal
10:17,192.168.2.6,10.0.0.19,190,5800,UDP,Normal
10:18,192.168.2.7,10.0.0.20,195,5900,TCP,Normal
10:19,192.168.2.8,10.0.0.21,200,6000,UDP,Normal
10:20,192.168.2.9,10.0.0.22,205,6100,TCP,Normal
10:21,45.33.22.8,10.0.0.23,15000,900000,TCP,Attack
10:22,85.12.8.3,10.0.0.24,18000,950000,UDP,Attack
10:23,192.168.3.2,10.0.0.25,210,6200,TCP,Normal
10:24,192.168.3.3,10.0.0.26,215,6300,UDP,Normal
10:25,192.168.3.4,10.0.0.27,220,6400,TCP,Normal
10:26,192.168.3.5,10.0.0.28,225,6500,UDP,Normal
10:27,192.168.3.6,10.0.0.29,230,6600,TCP,Normal
10:28,192.168.3.7,10.0.0.30,235,6700,UDP,Normal
10:29,192.168.3.8,10.0.0.31,240,6800,TCP,Normal
10:30,192.168.3.9,10.0.0.32,245,6900,UDP,Normal
10:31,45.33.23.9,10.0.0.33,12000,850000,TCP,Attack
10:32,85.12.9.5,10.0.0.34,22000,1300000,TCP,Attack
10:33,192.168.4.2,10.0.0.35,250,7000,TCP,Normal
10:34,192.168.4.3,10.0.0.36,255,7100,UDP,Normal
10:35,192.168.4.4,10.0.0.37,260,7200,TCP,Normal
10:36,192.168.4.5,10.0.0.38,265,7300,UDP,Normal
10:37,192.168.4.6,10.0.0.39,270,7400,TCP,Normal
10:38,192.168.4.7,10.0.0.40,275,7500,UDP,Normal
10:39,192.168.4.8,10.0.0.41,280,7600,TCP,Normal
10:40,192.168.4.9,10.0.0.42,285,7700,UDP,Normal
10:41,45.33.24.2,10.0.0.43,13000,870000,TCP,Attack
10:42,85.12.10.1,10.0.0.44,21000,1250000,UDP,Attack
10:43,192.168.5.2,10.0.0.45,290,7800,TCP,Normal
10:44,192.168.5.3,10.0.0.46,295,7900,UDP,Normal
10:45,192.168.5.4,10.0.0.47,300,8000,TCP,Normal
10:46,192.168.5.5,10.0.0.48,305,8100,UDP,Normal
10:47,192.168.5.6,10.0.0.49,310,8200,TCP,Normal
10:48,192.168.5.7,10.0.0.50,315,8300,UDP,Normal
10:49,192.168.5.8,10.0.0.51,320,8400,TCP,Normal
10:50,192.168.5.9,10.0.0.52,325,8500,UDP,Normal
